[Fri Jun 24 22:42:46.284 2011] 0.015 sec [scan/0/ext 2 (0,10)] [*]
[Mon Jun 27 17:11:37.468 2011] 0.001 sec [ext/0/ext 2 (0,10)] [test]  @author Alexey Artamonov
[Mon Jun 27 17:11:37.494 2011] 0.000 sec [ext/0/ext 0 (0,10)] [test]  @author Constantine Kipnis
[Mon Jun 27 21:40:07.920 2011] 0.000 sec [scan/0/ext 2 (0,10)] [test]
[Mon Jun 27 21:40:07.950 2011] 0.000 sec [scan/1/ext 2 (0,10)] [test]
[Mon Jun 27 21:40:08.025 2011] 0.000 sec [scan/1/ext 1 (0,10)] [test]
[Mon Jun 27 21:40:08.046 2011] 0.000 sec [scan/1/ext 0 (0,10)] [test]
[Mon Jun 27 21:40:08.060 2011] 0.001 sec [all/0/ext 1 (0,10)] [test] Neque molestie maecenas
[Mon Jun 27 21:40:08.080 2011] 0.000 sec [all/0/ext 0 (0,10)] [test] Cthulhu
[Mon Jun 27 21:40:08.094 2011] 0.001 sec [ext/0/ext 2 (0,10)] [test]  @author Alexey Artamonov
[Mon Jun 27 21:40:08.121 2011] 0.000 sec [ext/0/ext 0 (0,10)] [test]  @author Constantine Kipnis
[Mon Jun 27 21:40:55.104 2011] 0.000 sec [scan/0/ext 2 (0,10)] [test]
[Mon Jun 27 21:40:55.133 2011] 0.000 sec [scan/1/ext 2 (0,10)] [test]
[Mon Jun 27 21:40:55.236 2011] 0.000 sec [scan/1/ext 1 (0,10)] [test]
[Mon Jun 27 21:40:55.257 2011] 0.000 sec [scan/1/ext 0 (0,10)] [test]
[Mon Jun 27 21:40:55.271 2011] 0.001 sec [all/0/ext 1 (0,10)] [test] Neque molestie maecenas
[Mon Jun 27 21:40:55.291 2011] 0.000 sec [all/0/ext 0 (0,10)] [test] Cthulhu
[Mon Jun 27 21:40:55.305 2011] 0.001 sec [ext/0/ext 2 (0,10)] [test]  @author Alexey Artamonov
[Mon Jun 27 21:40:55.331 2011] 0.000 sec [ext/0/ext 0 (0,10)] [test]  @author Constantine Kipnis
[Mon Jun 27 22:13:34.352 2011] 0.000 sec [scan/0/ext 2 (0,10)] [test]
[Mon Jun 27 22:13:34.382 2011] 0.000 sec [scan/1/ext 2 (0,10)] [test]
[Mon Jun 27 22:13:34.460 2011] 0.000 sec [scan/1/ext 1 (0,10)] [test]
[Mon Jun 27 22:13:34.481 2011] 0.000 sec [scan/1/ext 0 (0,10)] [test]
[Mon Jun 27 22:13:34.495 2011] 0.001 sec [all/0/ext 1 (0,10)] [test] Neque molestie maecenas
[Mon Jun 27 22:13:34.516 2011] 0.000 sec [all/0/ext 0 (0,10)] [test] Cthulhu
[Mon Jun 27 22:13:34.530 2011] 0.000 sec [ext/0/ext 2 (0,10)] [test]  @author Alexey Artamonov
[Mon Jun 27 22:13:34.560 2011] 0.000 sec [ext/0/ext 0 (0,10)] [test]  @author Constantine Kipnis
[Mon Jun 27 22:25:22.102 2011] 0.000 sec [scan/0/ext 2 (0,10)] [test]
[Mon Jun 27 22:25:22.130 2011] 0.000 sec [scan/1/ext 2 (0,10)] [test]
[Mon Jun 27 22:25:22.206 2011] 0.000 sec [scan/1/ext 1 (0,10)] [test]
[Mon Jun 27 22:25:22.227 2011] 0.000 sec [scan/1/ext 0 (0,10)] [test]
[Mon Jun 27 22:25:22.241 2011] 0.001 sec [all/0/ext 1 (0,10)] [test] Neque molestie maecenas
[Mon Jun 27 22:25:22.261 2011] 0.000 sec [all/0/ext 0 (0,10)] [test] Cthulhu
[Mon Jun 27 22:25:22.275 2011] 0.001 sec [ext/0/ext 2 (0,10)] [test]  @author Alexey Artamonov
[Mon Jun 27 22:25:22.302 2011] 0.000 sec [ext/0/ext 0 (0,10)] [test]  @author Constantine Kipnis
[Mon Jun 27 22:28:21.684 2011] 0.000 sec [scan/0/ext 2 (0,10)] [test]
[Mon Jun 27 22:28:21.713 2011] 0.000 sec [scan/1/ext 2 (0,10)] [test]
[Mon Jun 27 22:28:21.788 2011] 0.000 sec [scan/1/ext 1 (0,10)] [test]
[Mon Jun 27 22:28:21.808 2011] 0.000 sec [scan/1/ext 0 (0,10)] [test]
[Mon Jun 27 22:28:21.822 2011] 0.001 sec [all/0/ext 1 (0,10)] [test] Neque molestie maecenas
[Mon Jun 27 22:28:21.843 2011] 0.000 sec [all/0/ext 0 (0,10)] [test] Cthulhu
[Mon Jun 27 22:28:21.862 2011] 0.001 sec [ext/0/ext 2 (0,10)] [test]  @author Alexey Artamonov
[Mon Jun 27 22:28:21.889 2011] 0.000 sec [ext/0/ext 0 (0,10)] [test]  @author Constantine Kipnis
[Mon Jun 27 22:28:37.436 2011] 0.000 sec [scan/0/ext 2 (0,10)] [test]
[Mon Jun 27 22:28:37.466 2011] 0.000 sec [scan/1/ext 2 (0,10)] [test]
[Mon Jun 27 22:28:37.545 2011] 0.000 sec [scan/1/ext 1 (0,10)] [test]
[Mon Jun 27 22:28:37.565 2011] 0.000 sec [scan/1/ext 0 (0,10)] [test]
[Mon Jun 27 22:28:37.579 2011] 0.001 sec [all/0/ext 1 (0,10)] [test] Neque molestie maecenas
[Mon Jun 27 22:28:37.600 2011] 0.000 sec [all/0/ext 0 (0,10)] [test] Cthulhu
[Mon Jun 27 22:28:37.614 2011] 0.001 sec [ext/0/ext 2 (0,10)] [test]  @author Alexey Artamonov
[Mon Jun 27 22:28:37.641 2011] 0.000 sec [ext/0/ext 0 (0,10)] [test]  @author Constantine Kipnis
[Mon Jun 27 23:00:19.832 2011] 0.000 sec [scan/0/ext 2 (0,10)] [test]
[Mon Jun 27 23:00:19.861 2011] 0.000 sec [scan/1/ext 2 (0,10)] [test]
[Mon Jun 27 23:00:19.939 2011] 0.000 sec [scan/1/ext 1 (0,10)] [test]
[Mon Jun 27 23:00:19.964 2011] 0.000 sec [scan/1/ext 0 (0,10)] [test]
[Mon Jun 27 23:00:19.978 2011] 0.001 sec [all/0/ext 1 (0,10)] [test] Neque molestie maecenas
[Mon Jun 27 23:00:19.998 2011] 0.000 sec [all/0/ext 0 (0,10)] [test] Cthulhu
[Mon Jun 27 23:00:20.012 2011] 0.001 sec [ext/0/ext 2 (0,10)] [test]  @author Alexey Artamonov
[Mon Jun 27 23:00:20.039 2011] 0.000 sec [ext/0/ext 0 (0,10)] [test]  @author Constantine Kipnis
